,station,line,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
25,경마공원,2호선,2238,8964,4276,8747,12440,1874,37.443885,127.007888
26,경복궁(정부서울청사),2호선,17435,69440,30978,34032,54849,21063,37.575762,126.97353
27,경찰병원,2호선,20451,16984,10025,8515,10669,13963,37.495918,127.12454
28,계양,2호선,20307,2355,5842,3717,3099,13929,37.571462,126.735637
29,고덕,2호선,24121,13414,13943,11168,10792,19469,37.555004,127.154151
30,고려대(종암),2호선,19713,16425,11428,9811,13676,15312,37.590508,127.036296
31,고속터미널,2호선,23085,46232,43045,50187,63183,41467,37.50481,127.004943
32,고잔,2호선,20365,17023,11697,10055,12516,15194,37.316777,126.823249
33,곡산,2호선,1306,1510,798,672,940,978,37.645676,126.801762
34,곤지암,2호선,5157,4460,3185,2588,3475,4263,37.351315,127.34674
35,공덕,2호선,12664,30702,10848,9918,22109,13952,37.544018,126.951592
36,공릉(서울과학기술대),2호선,33351,16447,17214,14599,15647,27845,37.625742,127.072896
37,공항시장,2호선,7851,2841,4269,4065,3101,7593,37.563726,126.810678
38,공항화물청사,2호선,2080,13422,1952,1890,7497,1470,37.458366,126.476241
39,과천,2호선,16205,5542,8124,5170,5476,10544,37.433021,126.996568
40,관악,2호선,26192,8414,10257,8415,7957,18037,37.419232,126.908706
41,광나루(장신대),2호선,36803,21143,18929,15784,18351,24854,37.545303,127.10357
42,광명,2호선,8793,3671,4108,3003,5117,5912,37.416182,126.884466
43,광명사거리,2호선,79374,22298,31565,29790,25493,58981,37.479252,126.854876
44,광운대,2호선,26411,9859,11992,10959,9172,18277,37.623632,127.061835
45,광화문(세종문화회관),3호선,11550,148973,33900,39963,102169,23726,37.571026,126.976669
46,광흥창(서강),3호선,18440,23323,12059,10027,16474,14162,37.547456,126.931993
47,교대(법원.검찰청),3호선,19663,73625,31404,33163,60067,27988,37.493415,127.01408
48,구로,3호선,33287,50675,23234,23099,36498,30990,37.503039,126.881966
49,구로디지털단지,3호선,142833,156501,65215,58934,116539,114905,37.485266,126.901401
50,구룡,3호선,3090,4742,3090,1776,2672,2343,37.486839,127.058856
51,구리,3호선,42587,15702,18577,17182,15621,33891,37.603392,127.143869
52,구반포,3호선,4329,5004,4350,4532,5239,5009,37.501364,126.987332
53,구산,3호선,26312,6077,10573,7331,6581,13798,37.611377,126.91727
54,구성,3호선,17236,5228,6353,5104,4672,12835,37.298969,127.105664
55,구의(광진구청),3호선,79359,25452,29225,25733,26797,57716,37.537077,127.085916
56,구일,3호선,20800,9429,8885,8284,8971,17946,37.496756,126.870793
57,구파발,3호선,67808,25064,28351,25333,23419,45360,37.636763,126.918821
58,국수,3호선,1847,1206,1515,1209,706,1380,37.516169,127.399367
59,국회의사당,3호선,5197,78248,16280,15571,49890,8018,37.528105,126.917874
60,군자(능동),3호선,37236,15942,15320,13206,18395,28193,37.557121,127.079542
61,군포,3호선,14921,26772,7320,5823,16727,10590,37.35356,126.948462
62,굴봉산,3호선,207,357,434,399,206,146,37.832067,127.557695
63,굴포천,3호선,30064,8530,10936,9729,9358,25811,37.506997,126.73128
64,굽은다리(강동구민회관앞),3호선,31000,9290,12812,10796,9815,22170,37.545477,127.142853
65,금곡,3호선,4259,2735,2294,1883,1789,2877,37.637382,127.207853
66,금릉,3호선,12267,6332,6358,5242,5867,10325,37.751322,126.765347
67,금정,3호선,69453,50419,30334,25995,40902,57594,37.372221,126.943429
68,금천구청,3호선,37307,18320,14748,13023,13988,27525,37.455626,126.89398
69,금촌,3호선,16237,11370,10270,9020,9434,13279,37.766217,126.774644
70,금호,3호선,27951,6611,11626,9518,8213,19930,37.548034,127.015872
71,기흥,3호선,30082,10328,12417,9767,12157,24085,37.275619,127.115936
72,길동,3호선,20508,10989,11120,10755,9738,17479,37.537801,127.140004
73,길음,3호선,70981,21943,27921,24428,22581,49809,37.603407,127.025053
74,김유정,3호선,370,673,908,1091,573,340,37.818466,127.71434
